ROI,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_Mean,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance
51,132.58242797851562,241.15325927734375,639450654.8042269,2.907138515187973,62.28865051269531,3.5344230144547093,328.1286315917969,188.16842855884465,36.61494380559264,192.60845947265625,0.0,328.1286315917969,25.468754427214773,193.71175687382257,-0.43159252730347836,639450654.8042269,0.1591152624614965,2116.88724483792
52,129.33507537841797,237.84453582763672,679220806.6508745,2.9273778892668783,58.09882736206055,3.9733278084980426,329.64208984375,183.28256070656602,36.41544793169013,185.99916076660156,0.0,329.64208984375,24.164501147154347,189.24203846439448,-0.45256017965193424,679220806.6508745,0.16135555915624236,2220.05206300331
53,102.52779006958009,270.56553344726564,507884868.92070407,3.2254879380658523,72.91090774536133,4.153527957403974,344.78546142578125,201.93719724663225,50.8992899544083,218.29299926757812,0.0,344.78546142578125,32.08223200069354,212.75815166075768,-1.1596437592542275,507884868.92070407,0.13306042494781092,4487.399466276702
54,100.36078643798828,263.0249938964844,499127568.17834014,3.2624078458306776,72.85162353515625,3.75659361313089,332.7097473144531,190.75454181504688,48.62120184368647,198.662353515625,0.0,332.7097473144531,31.611480775005816,201.1085814906283,-0.854459317649229,499127568.17834014,0.12403930495702763,4057.3663261042198
55,145.49588012695312,264.95798950195314,1120571746.630756,2.987929978860847,60.25304412841797,4.126043054040184,344.6924743652344,203.61564677291602,38.01152012492991,205.77850341796875,0.0,344.6924743652344,25.15709696269108,209.61588868909004,-0.6849492400236578,1120571746.630756,0.15264856346936123,2479.4891801640683
56,70.62260437011719,268.29119873046875,707628980.6692181,3.2792075158818728,72.42817687988281,3.591377676955215,343.9804992675781,193.01825913737756,54.38002027452717,208.1845703125,0.0,343.9804992675781,34.38726061600197,205.96421184155247,-1.063996907372606,707628980.6692181,0.12550963500087245,5165.208199088071
57,161.38988494873047,270.3354248046875,343368869.33731496,2.851470423971132,60.40529251098633,4.155896359723986,316.7704162597656,213.12198619259655,35.22736079942382,212.71957397460938,0.0,316.7704162597656,24.758611762311872,217.77658141138903,-0.5958594606461309,343368869.33731496,0.16150895882299077,2005.6584125540314
58,94.36017150878907,274.0519958496094,358368295.36863756,3.187136260727133,69.89905548095703,4.099436289959558,322.7337341308594,205.02778788625463,51.45371920002179,221.29755401611328,0.0,322.7337341308594,31.537542930458866,216.26872337701704,-1.24320798482099,358368295.36863756,0.13486490465988593,4735.766905593706
59,121.18558349609376,233.61826171875,601776122.689297,2.8389075671495023,74.4599380493164,4.907253926536952,303.6083679199219,172.84972456912297,45.37949482424166,178.6373291015625,0.0,303.6083679199219,30.07526985866666,183.13440733893992,-1.2833050013699852,601776122.689297,0.15840225859785376,3661.1838677631026
60,0.0,230.81277770996098,544325502.0272009,2.935633921622694,74.44506072998047,2.713667291904669,301.9543762207031,147.6114090635369,59.02960871872645,161.7511444091797,0.0,301.9543762207031,58.08087890340706,166.70375377845298,-0.862493831435334,544325502.0272009,0.15046670502917986,6001.013438104252
